timestamp,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
28973568,0.9922584577872601,0.9925327644010972,0.9920755867113685,0.9925022858884486,83967.0,28973568,27341.63058,261,60723.0,19772.97299,0
28973569,0.9925327644010972,0.9925327644010972,0.9919841511734226,0.9921975007619628,187472.0,28973569,61035.41752,354,32891.0,10707.20402,0
28973570,0.9921975007619628,0.9928985065528803,0.9920755867113685,0.9927461139896373,187616.0,28973570,61098.43053,497,144860.0,47176.02001,0
28973571,0.9927461139896373,0.9939652544955807,0.9926851569643401,0.9939652544955807,384908.0,28973571,125445.88747,884,318067.0,103662.16715,0
28973572,0.9939652544955807,0.9944224321853093,0.9937823834196892,0.9939042974702834,247235.0,28973572,80636.91436,1080,109507.0,35710.45395,0
28973573,0.9938738189576348,0.9942700396220665,0.9932947272173118,0.9932947272173118,135248.0,28973573,44101.84704,626,86928.0,28346.62858,0
28973574,0.9932642487046632,0.9936909478817433,0.9928070710149344,0.9929899420908259,180292.0,28973574,58750.10616,555,130650.0,42572.96282,0
28973575,0.9930204206034745,0.9930813776287717,0.9921670222493142,0.9921670222493142,113406.0,28973575,36933.63356,443,27588.0,8984.99208,0
28973576,0.9921975007619628,0.9924413288631515,0.991892715635477,0.991892715635477,69288.0,28973576,22554.44019,412,27186.0,8848.9481,0
28973577,0.991892715635477,0.991892715635477,0.9907954891801279,0.9907954891801279,319532.0,28973577,103903.00067,662,28926.0,9408.61964,0
28973578,0.9908259676927765,0.9910088387686681,0.9906735751295337,0.9908259676927765,151649.0,28973578,49299.51434,409,46339.0,15064.74664,0
28973579,0.9908259676927765,0.9911917098445596,0.9907345321548309,0.9911307528192623,272177.0,28973579,88490.13073,269,222816.0,72442.6939,0
28973580,0.9911002743066138,0.9911002743066138,0.9895763486741848,0.9900640048765621,299371.0,28973580,97248.08376,1010,51185.0,16627.19534,0
28973581,0.9900640048765621,0.990643096616885,0.9895153916488876,0.9895153916488876,182068.0,28973581,59143.08714,928,93762.0,30457.54587,0
28973582,0.9894849131362389,0.9897896982627247,0.9890886924718073,0.9894239561109417,637410.0,28973582,206911.0298,621,49139.0,15954.4325,0
28973583,0.9894239561109417,0.9894239561109417,0.9888753428832673,0.988905821395916,172585.0,28973583,56004.86394,557,53208.0,17266.91181,0
28973584,0.988905821395916,0.9894544346235903,0.9886315147820786,0.9894239561109417,76820.0,28973584,24925.84396,474,28370.0,9206.01226,0
28973585,0.9894544346235903,0.9908869247180738,0.9891801280097531,0.9902163974398049,351886.0,28973585,114364.91604,587,176108.0,57231.26309,0
28973586,0.9902468759524535,0.9909783602560195,0.9902163974398049,0.990643096616885,100779.0,28973586,32759.75648,355,87593.0,28473.49281,0
28973587,0.990643096616885,0.9906735751295337,0.9903992685156965,0.9905211825662907,72435.0,28973587,23542.72272,282,46030.0,14960.92133,0
28973588,0.9905516610789393,0.9909174032307224,0.9905516610789393,0.9906126181042364,48155.0,28973588,15652.11405,245,36661.0,11916.049,0
28973589,0.990643096616885,0.990643096616885,0.989850655288022,0.989850655288022,225232.0,28973589,73186.85211,546,60025.0,19503.96226,0
